time[ms],setpoint[rad],position[rad],velocity[rad/s],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
288.755,0.0,0.02761,0.0,0.0,3.5979406e-15,-4.554131e-12
290.117,0.2485,0.02761,0.0,-126.43,-2.6047858e-15,117.40566
292.748,0.2485,0.02761,0.0,1476.81,0.43816656,270.33627
295.177,0.2485,0.03068,0.0,1492.95,1.7619691,501.56485
297.683,0.2485,0.04142,0.0,1062.55,3.7744923,672.50214
300.192,0.2485,0.05522,0.072,680.57,5.333138,630.26917
302.68,0.2485,0.07056,0.144,376.6,6.497466,461.0386
305.195,0.2485,0.0905,0.336,112.98,7.2324266,249.61032
307.697,0.2485,0.10891,0.504,-83.39,7.1716886,-23.745127
310.189,0.2485,0.12425,0.815,-204.44,6.317171,-261.69684
312.702,0.2485,0.13806,1.055,-269.0,5.3357186,-362.1122
315.198,0.2485,0.1488,1.439,-287.83,4.479427,-306.19058
317.692,0.2485,0.158,1.703,-285.14,4.051135,-162.98183
320.201,0.2485,0.16874,2.086,-274.38,4.1199694,4.549568
322.677,0.2485,0.17948,2.326,-252.86,4.4951572,52.7995
325.171,0.2485,0.19175,2.734,-271.69,4.364894,-36.620255
327.685,0.2485,0.20095,2.998,-274.38,3.8611057,-191.76227
330.18,0.2485,0.20862,3.357,-274.38,3.0636797,-261.68182
332.685,0.2485,0.21476,3.549,-255.55,2.4465377,-266.0632
335.209,0.2485,0.21936,3.765,-242.1,1.8424294,-221.91685
337.671,0.2485,0.22243,3.861,-182.92,1.4166442,-163.28195
340.171,0.2485,0.2255,3.885,-139.88,1.2326987,-59.147274
342.669,0.2485,0.22856,3.861,-129.12,1.4118164,13.749001
345.168,0.2485,0.23317,3.765,-112.98,1.4714985,23.765743
347.674,0.2485,0.23623,3.669,-102.22,1.4110438,-24.554558
350.168,0.2485,0.2393,3.525,-99.53,1.22724,-80.60624
352.667,0.2485,0.24237,3.405,-86.08,0.86115974,-118.287224
355.16,0.2485,0.24237,3.213,-78.01,0.549065,-151.52441
357.712,0.2485,0.2439,3.07,-61.87,0.06283688,-108.11068
360.161,0.2485,0.24237,2.83,-43.04,0.12368468,-55.547398
362.746,0.2485,0.2439,2.662,-24.21,0.0631923,34.161507
365.163,0.2485,0.2439,2.398,-10.76,0.3695274,48.934723
367.693,0.2485,0.24544,2.23,-8.07,0.43237323,68.39885
370.221,0.2485,0.24697,1.99,-10.76,0.6127647,37.014385
372.659,0.2485,0.2485,1.871,-48.42,0.61737126,-22.536425
375.157,0.2485,0.25004,1.679,-43.04,0.24359511,-96.47915
377.695,0.2485,0.2485,1.559,-37.66,-0.061934672,-86.405045
380.156,0.2485,0.2485,1.391,-26.9,-0.00014719821,2.7794688
382.688,0.2485,0.25004,1.271,-16.14,0.24679159,17.485561
385.188,0.2485,0.25004,1.127,-8.07,0.0014020869,-39.18127
387.663,0.2485,0.2485,1.031,0.0,-0.24707069,-61.95283
390.165,0.2485,0.2485,0.887,0.0,-0.18497826,2.4117992
392.663,0.2485,0.2485,0.815,0.0,-1.4889658e-17,15.0083685
395.159,0.2485,0.2485,0.719,0.0,-0.18381567,-14.567918
397.657,0.2485,0.24697,0.647,0.0,-0.24499597,-46.55117
400.157,0.2485,0.24697,0.576,0.0,-0.36723915,-12.205979
402.658,0.2485,0.24544,0.504,16.14,-0.24480489,12.261166
405.157,0.2485,0.24544,0.432,26.9,-0.18362692,68.550644
407.657,0.2485,0.24544,0.36,24.21,0.18360238,73.40239
410.161,0.2485,0.24697,0.288,0.0,0.24471675,90.6601
412.66,0.2485,0.24697,0.24,-5.38,0.55195767,71.27628
415.157,0.2485,0.25004,0.192,-5.38,0.67518044,27.131453
417.657,0.2485,0.25157,0.168,-2.69,0.4296515,-83.44545
420.157,0.2485,0.25004,0.144,-5.38,-0.0612,-122.524216
422.657,0.2485,0.25004,0.12,-5.38,-0.18223754,-55.88453
425.2,0.2485,0.25004,0.12,-2.69,1.3177738e-14,14.655245
427.664,0.2485,0.25004,0.096,0.0,1.3387555e-14,21.88594
430.188,0.2485,0.25004,0.096,0.0,1.3244591e-14,22.009375
432.687,0.2485,0.25004,0.096,0.0,0.18308549,14.6278715
435.157,0.2485,0.25157,0.096,-5.38,0.060297485,-12.424698
437.685,0.2485,0.25004,0.096,-2.69,-0.06221419,-48.996483
440.158,0.2485,0.25004,0.096,0.0,-0.18342488,9.978914
442.686,0.2485,0.25004,0.096,0.0,0.18334776,29.505505
445.206,0.2485,0.25157,0.096,-2.69,0.06149299,31.754616
447.696,0.2485,0.25004,0.096,0.0,0.12266269,-34.199306
450.202,0.2485,0.25157,0.072,0.0,-0.122286126,-24.58486
452.687,0.2485,0.25004,0.072,0.0,-0.06101104,-34.5636
455.167,0.2485,0.25004,0.048,0.0,-0.18430197,32.015575
457.67,0.2485,0.25004,0.048,0.0,0.18374705,29.352335
460.221,0.2485,0.25157,0.048,-2.69,0.06226322,10.077697
462.69,0.2485,0.25004,0.024,0.0,-0.059682082,-49.010525
465.187,0.2485,0.25004,0.024,-5.38,-0.18437791,-12.510589
467.673,0.2485,0.25004,0.024,-5.38,1.3310049e-14,14.4594
470.237,0.2485,0.25004,0.024,-5.38,1.3280939e-14,22.048664
472.691,0.2485,0.25004,0.0,-2.69,1.1084462e-14,17.30164
476.312,0.2485,0.25004,0.0,-5.38,0.1532718,14.544212
478.142,0.2485,0.25157,0.0,0.0,0.06579294,-8.712387
480.191,0.2485,0.25004,0.0,-2.69,-0.08074355,-54.455658
482.706,0.2485,0.25004,0.0,0.0,-0.18482435,-11.443683
485.233,0.2485,0.25004,0.0,0.0,1.3361434e-14,-5.0332956
487.699,-0.01994,0.25004,0.0,0.0,-0.1852874,-104.3977
490.174,-0.01994,0.2485,0.0,-1484.88,-0.9917635,-308.1465
492.674,-0.01994,0.24237,0.0,-1479.5,-2.2758586,-538.15936
495.184,-0.01994,0.23317,-0.048,-1078.69,-4.231243,-634.2921
497.672,-0.01994,0.21629,-0.096,-790.86,-5.6261597,-582.98865
500.207,-0.01994,0.20095,-0.264,-570.28,-6.6873703,-353.14114
502.673,-0.01994,0.18254,-0.408,-379.29,-6.8178816,-165.96979
505.173,-0.01994,0.16567,-0.671,-129.12,-6.960617,-27.403894
507.673,-0.01994,0.1488,-0.887,37.66,-6.8676243,7.2978263
510.253,-0.01994,0.13039,-1.271,142.57,-6.788386,32.929085
512.676,-0.01994,0.11505,-1.535,209.82,-6.711654,64.58133
515.173,-0.01994,0.09817,-1.966,263.62,-6.3559403,119.54083
517.786,-0.01994,0.08283,-2.278,317.42,-5.9112062,187.80255
520.2,-0.01994,0.07056,-2.758,344.32,-5.281055,238.37123
522.699,-0.01994,0.05829,-3.07,347.01,-4.577344,256.83972
525.213,-0.01994,0.04909,-3.549,336.25,-4.023786,234.30104
527.747,-0.01994,0.03988,-3.813,293.21,-3.5005307,202.33308
530.184,-0.01994,0.03221,-4.149,277.07,-3.0669875,159.77115
532.735,-0.01994,0.02608,-4.317,239.41,-2.835968,127.37935
535.184,-0.01994,0.01841,-4.508,223.27,-2.520896,114.064896
537.679,-0.01994,0.01381,-4.556,185.61,-2.223473,154.74373
540.179,-0.01994,0.0092,-4.58,161.4,-1.655179,177.78548
542.691,-0.01994,0.00614,-4.556,145.26,-1.2276425,166.17587
545.177,-0.01994,0.0046,-4.436,102.22,-0.98116934,83.16936
547.693,-0.01994,0.00153,-4.317,78.01,-1.0432534,19.552143
550.187,-0.01994,-0.00153,-4.101,53.8,-1.0435982,22.076958
552.675,-0.01994,-0.00307,-3.933,43.04,-0.7966293,39.380806
555.2,-0.01994,-0.0046,-3.669,29.59,-0.7969978,22.215025
557.687,-0.01994,-0.00767,-3.477,24.21,-0.8579973,-2.4848495
560.181,-0.01994,-0.0092,-3.189,18.83,-0.7969903,46.687923
562.708,-0.01994,-0.01074,-2.998,5.38,-0.42918855,51.360886
565.198,-0.01994,-0.01074,-2.71,2.69,-0.55235165,9.5156145
567.697,-0.01994,-0.01381,-2.518,2.69,-0.67773634,-49.386745
570.173,-0.01994,-0.01534,-2.278,18.83,-0.79719925,-12.151189
572.7,-0.01994,-0.01687,-2.11,21.52,-0.614587,15.014194
575.169,-0.01994,-0.01841,-1.894,53.8,-0.6144215,44.713642
577.672,-0.01994,-0.01994,-1.775,56.49,-0.4255866,59.123867
580.249,-0.01994,-0.01994,-1.583,40.35,-0.18348965,83.20134
582.668,-0.01994,-0.01994,-1.487,26.9,4.1652705e-18,81.08802
585.169,-0.01994,-0.01994,-1.319,16.14,0.18616365,81.83842
587.669,-0.01994,-0.01841,-1.223,5.38,0.4297003,61.347332
590.165,-0.01994,-0.01687,-1.103,-5.38,0.42979085,-0.18975662
592.672,-0.01994,-0.01687,-1.007,-26.9,0.1847801,-39.35729
595.166,-0.01994,-0.01687,-0.887,-26.9,0.18357535,-44.281322
597.667,-0.01994,-0.01534,-0.791,-51.11,0.06132748,-34.44143
600.163,-0.01994,-0.01687,-0.695,-45.73,-0.061148547,-48.972893
602.665,-0.01994,-0.01687,-0.624,-29.59,-0.1835926,-12.257549
605.164,-0.01994,-0.01687,-0.528,-13.45,-8.354202e-16,14.6768265
607.663,-0.01994,-0.01687,-0.456,-13.45,-8.2995343e-16,22.036106
610.163,-0.01994,-0.01687,-0.384,-18.83,-8.3442137e-16,1.5088054e-16
612.657,-0.01994,-0.01687,-0.312,-18.83,-8.326743e-16,-8.100512e-16
615.156,-0.01994,-0.01687,-0.24,-18.83,-8.372771e-16,-2.1857825e-16
617.659,-0.01994,-0.01687,-0.216,-10.76,-8.34708e-16,3.2299328e-16
620.156,-0.01994,-0.01687,-0.168,0.0,-8.3083874e-16,-22.186638
622.656,-0.01994,-0.01687,-0.144,0.0,-0.18488128,-36.802555
625.158,-0.01994,-0.01841,-0.12,0.0,-0.24499993,-24.360975
627.697,-0.01994,-0.01841,-0.096,-2.69,-0.18461901,46.514446
630.16,-0.01994,-0.01841,-0.096,-2.69,0.18481353,73.86242
632.661,-0.01994,-0.01687,-0.096,-2.69,0.24764962,46.903107
635.161,-0.01994,-0.01687,-0.072,-5.38,0.18479261,-46.859997
637.661,-0.01994,-0.01687,-0.072,-5.38,-0.18480739,-74.05855
640.16,-0.01994,-0.01841,-0.072,-8.07,-0.24622262,-46.73928
642.666,-0.01994,-0.01841,-0.048,-8.07,-0.18460058,24.623047
645.166,-0.01994,-0.01841,-0.048,0.0,3.1222271e-18,36.93661
647.66,-0.01994,-0.01841,-0.048,-5.38,-5.5917562e-18,44.36886
650.164,-0.01994,-0.01841,-0.048,-10.76,0.18488371,14.80106
652.66,-0.01994,-0.01687,-0.048,-2.69,0.0615433,9.862211
655.161,-0.01994,-0.01841,-0.024,-8.07,0.12318516,-34.519344
657.66,-0.01994,-0.01687,-0.024,-5.38,-0.12321968,-24.625805
660.163,-0.01994,-0.01841,-0.024,0.0,-0.06165174,-30.270248
662.659,-0.01994,-0.01841,-0.024,-5.38,-0.14959477,10.929217
666.416,-0.01994,-0.01841,-0.024,0.0,-1.6417954e-18,13.618975
667.67,-0.01994,-0.01841,-0.024,0.0,1.1756221e-18,47.594448
670.168,-0.01994,-0.01841,-0.024,0.0,0.22947939,46.065163
672.677,-0.01994,-0.01687,-0.024,0.0,0.24682331,0.75571555
675.159,-0.01994,-0.01687,-0.024,-2.69,-2.4669474e-05,-66.95401
677.669,-0.01994,-0.01841,0.0,-13.45,-0.24603288,-39.28914
680.189,-0.01994,-0.01841,0.0,-8.07,-0.00031774645,16.889866
682.686,-0.01994,-0.01687,0.0,-5.38,0.05935507,2.3281913
685.268,-0.40037,-0.01841,0.0,-8.07,-0.24379921,-151.63466
687.68,-0.40037,-0.01994,0.0,-1479.5,-1.1723509,-366.10785
690.156,-0.40037,-0.02608,0.0,-1562.89,-2.669526,-557.7461
692.718,-0.40037,-0.03835,-0.024,-1094.83,-4.353626,-611.4703
695.165,-0.40037,-0.05216,-0.12,-807.0,-5.708742,-523.89374
697.667,-0.40037,-0.06903,-0.24,-591.8,-6.57753,-347.10617
700.206,-0.40037,-0.08744,-0.432,-416.95,-6.9588256,-118.431656
702.695,-0.40037,-0.10431,-0.624,-298.59,-6.572274,-38.37965
705.165,-0.40037,-0.11812,-0.839,-239.41,-7.0256734,-114.676605
707.683,-0.40037,-0.14113,-1.199,-185.61,-7.7578917,-242.90858
710.163,-0.40037,-0.16107,-1.631,-172.16,-8.345572,-117.57581
712.671,-0.40037,-0.18101,-1.942,-147.95,-7.8095236,90.60921
715.162,-0.40037,-0.19942,-2.446,-78.01,-7.1846695,200.23306
717.66,-0.40037,-0.21476,-2.806,48.42,-6.8864727,131.56274
720.155,-0.40037,-0.23317,-3.165,166.78,-6.8145976,32.840042
722.659,-0.40037,-0.25004,-3.741,242.1,-6.9349523,-8.031541
725.156,-0.40037,-0.26691,-4.101,287.83,-6.9131846,2.953814
727.68,-0.40037,-0.28532,-4.604,341.63,-6.7974596,78.246956
730.168,-0.40037,-0.30066,-5.036,365.84,-6.3196363,228.05896
732.663,-0.40037,-0.31447,-5.276,365.84,-5.1694436,331.66376
735.157,-0.40037,-0.32367,-5.468,368.53,-4.4253945,294.8562
737.656,-0.40037,-0.33441,-5.707,357.77,-4.114419,161.51013
740.157,-0.40037,-0.34515,-5.827,320.11,-3.9279337,149.06552
742.656,-0.40037,-0.35282,-5.923,306.66,-3.24541,226.90169
745.171,-0.40037,-0.35895,-5.923,239.41,-2.4482253,237.85518
747.669,-0.40037,-0.36355,-5.875,212.51,-2.2078128,192.48491
750.159,-0.40037,-0.36969,-5.755,166.78,-1.7216637,151.31792
752.656,-0.40037,-0.37122,-5.612,139.88,-1.3519847,154.72162
755.156,-0.40037,-0.37429,-5.468,115.67,-1.0437355,71.715836
757.655,-0.40037,-0.37736,-5.18,94.15,-1.2270175,7.773167
760.163,-0.40037,-0.38043,-4.868,64.56,-1.2259887,0.20758504
762.667,-0.40037,-0.3835,-4.652,56.49,-1.0424681,36.715977
765.161,-0.40037,-0.38503,-4.293,53.8,-0.9819238,48.037506
767.663,-0.40037,-0.3881,-4.053,48.42,-0.84600747,35.00213
770.282,-0.40037,-0.38963,-3.693,48.42,-0.7917226,45.548626
772.689,-0.40037,-0.39117,-3.453,32.28,-0.6161402,34.06012
775.157,-0.40037,-0.3927,-3.213,26.9,-0.62137204,44.072235
777.682,-0.40037,-0.39423,-2.878,10.76,-0.42766982,60.009388
780.189,-0.40037,-0.39423,-2.566,24.21,-0.18091895,61.631744
782.761,-0.40037,-0.39423,-2.398,16.14,-0.1825228,21.664745
785.203,-0.40037,-0.39577,-2.134,2.69,-0.2464618,-3.2637
787.678,-0.40037,-0.39577,-1.966,0.0,-0.18671525,24.69838
790.159,-0.40037,-0.39577,-1.823,-2.69,5.0397196e-17,14.985965
792.656,-0.40037,-0.39577,-1.607,-8.07,-0.18418902,-14.368311
795.172,-0.40037,-0.3973,-1.415,-13.45,-0.2443986,-24.391752
797.673,-0.40037,-0.3973,-1.295,-8.07,-0.18373327,24.455994
800.164,-0.40037,-0.3973,-1.151,-2.69,-1.1092314e-16,36.68442
802.67,-0.40037,-0.3973,-1.055,-2.69,3.6357526e-17,22.069435
805.16,-0.40037,-0.3973,-0.959,-5.38,-6.658024e-18,-22.248526
807.656,-0.40037,-0.3973,-0.839,-5.38,-0.18522178,-14.676695
810.161,-0.40037,-0.39884,-0.719,-2.69,-0.060558412,12.429181
812.701,-0.40037,-0.3973,-0.647,0.0,0.061764225,27.244633
815.158,-0.40037,-0.3973,-0.552,0.0,0.00059152744,-24.877003
817.674,-0.40037,-0.39884,-0.504,-5.38,-0.24803646,-39.835503
820.156,-0.40037,-0.39884,-0.456,-2.69,-0.18533443,2.3651397
822.655,-0.40037,-0.39884,-0.408,0.0,8.413084e-18,37.262943
825.155,-0.40037,-0.39884,-0.36,-2.69,8.387583e-18,22.2102
827.663,-0.40037,-0.39884,-0.312,0.0,-4.4442724e-17,3.5453968e-15
830.156,-0.40037,-0.39884,-0.288,0.0,5.5690994e-17,1.3023579e-14
832.656,-0.40037,-0.39884,-0.24,0.0,8.3631414e-17,22.202927
835.156,-0.40037,-0.39884,-0.216,0.0,0.1848,36.807228
837.656,-0.40037,-0.3973,-0.192,0.0,0.2451269,2.356744
840.193,-0.40037,-0.3973,-0.168,-2.69,0.000760471,-39.13941
842.662,-0.40037,-0.39884,-0.144,-5.38,-0.060200326,-24.198885
845.205,-0.40037,-0.3973,-0.12,-8.07,0.06270048,5.0950236
847.684,-0.40037,-0.3973,-0.096,-13.45,0.0016042296,-24.654724
850.162,-0.40037,-0.39884,-0.096,0.0,-0.24673395,-39.63533
852.692,-0.40037,-0.39884,-0.072,-2.69,-0.18478882,24.431461
855.165,-0.40037,-0.39884,-0.072,-2.69,0.18453729,73.56134
857.696,-0.40037,-0.3973,-0.048,-10.76,0.24596114,24.439463
860.209,-0.40037,-0.3973,-0.048,-8.07,0.00070600095,-60.928715
862.711,-0.40037,-0.39884,-0.024,0.0,-0.24513936,-61.233315
865.233,-0.40037,-0.39884,-0.024,-2.69,-0.18498415,2.231687
867.703,-0.40037,-0.39884,-0.024,0.0,3.4946525e-17,36.940838
870.189,-0.40037,-0.39884,-0.024,-2.69,4.8076568e-17,22.247814
872.698,-0.40037,-0.39884,0.0,-10.76,-4.214607e-17,22.279554
875.174,-0.40037,-0.39884,0.0,-5.38,0.18534754,37.159077
877.673,-0.40037,-0.3973,0.0,-5.38,0.24725908,24.692142
880.173,-0.40037,-0.3973,0.0,-13.45,0.18490353,-24.743862
882.67,-0.40037,-0.3973,0.0,-10.76,1.2221488e-17,-37.060307
885.174,-0.40037,-0.3973,0.0,-10.76,-1.0802668e-16,-22.155317
887.679,-0.19942,-0.3973,0.0,-5.38,-5.5692304e-17,44.344715
890.15,-0.19942,-0.3973,0.0,1205.12,0.36971834,206.70593
892.674,-0.19942,-0.39423,0.0,1312.72,1.595219,422.91467
895.184,-0.19942,-0.38503,0.024,893.08,3.1178637,574.67975
897.671,-0.19942,-0.37429,0.072,543.38,4.665966,608.55
900.173,-0.19942,-0.35895,0.168,282.45,6.1472282,510.80002
902.669,-0.19942,-0.33901,0.288,67.25,6.873761,250.07387
905.17,-0.19942,-0.32367,0.528,-94.15,6.5070806,-68.9443
907.669,-0.19942,-0.30986,0.719,-201.75,5.6955404,-239.09964
910.185,-0.19942,-0.29606,1.031,-263.62,5.1480284,-264.81564
912.675,-0.19942,-0.28532,1.271,-282.45,4.479909,-267.55145
915.171,-0.19942,-0.27612,1.607,-258.24,3.6886735,-282.45248
917.669,-0.19942,-0.26845,1.847,-252.86,3.06289,-227.8989
920.188,-0.19942,-0.26231,2.182,-234.03,2.785693,-109.686646
922.777,-0.19942,-0.25464,2.422,-207.13,2.8505027,-42.95093
925.237,-0.19942,-0.24697,2.734,-188.3,2.6780229,-50.366734
927.769,-0.19942,-0.24237,2.926,-166.78,2.4183955,-100.34348
930.176,-0.19942,-0.23623,3.165,-147.95,2.1094556,-111.679726
932.672,-0.19942,-0.23163,3.261,-156.02,1.8606914,-110.776245
935.172,-0.19942,-0.22856,3.381,-129.12,1.5886717,-88.87353
937.711,-0.19942,-0.22396,3.381,-112.98,1.4559863,-59.407425
940.256,-0.19942,-0.22089,3.333,-102.22,1.4034102,-44.866585
942.703,-0.19942,-0.21783,3.285,-88.77,1.2296855,-55.81645
945.206,-0.19942,-0.21476,3.141,-67.25,1.0494038,-80.22098
947.702,-0.19942,-0.21322,3.046,-59.18,0.79942775,-83.7922
950.195,-0.19942,-0.21169,2.878,-53.8,0.6155143,-59.698
952.677,-0.19942,-0.21016,2.758,-37.66,0.61534125,-22.226112
955.179,-0.19942,-0.20862,2.566,-26.9,0.6148779,-22.441885
957.677,-0.19942,-0.20709,2.446,-13.45,0.42918047,-37.025288
960.184,-0.19942,-0.20709,2.254,-8.07,0.36842805,-24.635565
962.673,-0.19942,-0.20555,2.11,-10.76,0.43006983,2.5621183
965.177,-0.19942,-0.20402,1.918,-8.07,0.43006802,-0.18752289
967.673,-0.19942,-0.20402,1.799,0.0,0.3669256,-24.715775
970.183,-0.19942,-0.20249,1.631,-10.76,0.24498555,-12.28318
972.673,-0.19942,-0.20249,1.511,-5.38,0.3685755,-9.610342
975.176,-0.19942,-0.20095,1.367,-16.14,0.24586186,-12.172346
977.699,-0.19942,-0.20095,1.271,-24.21,0.18462318,-46.571762
980.179,-0.19942,-0.20095,1.127,-16.14,-6.616661e-15,-36.561703
982.739,-0.19942,-0.20095,1.055,-8.07,-6.656352e-15,-22.130228
985.185,-0.19942,-0.20095,0.935,-2.69,-6.7163106e-15,-4.110082e-15
987.689,-0.19942,-0.20095,0.863,0.0,-6.6308073e-15,3.776174e-15
990.217,-0.19942,-0.20095,0.743,0.0,-6.6537792e-15,8.92072e-16
992.713,-0.19942,-0.20095,0.695,0.0,-6.7011944e-15,-22.261517
995.183,-0.19942,-0.20095,0.6,16.14,-0.18605956,-37.377747
997.671,-0.19942,-0.20249,0.552,18.83,-0.24758583,-2.3318682
1000.177,-0.19942,-0.20249,0.456,18.83,0.00012352568,61.88387
1002.67,-0.19942,-0.20095,0.408,5.38,0.2461584,83.58307
1005.177,-0.19942,-0.20095,0.36,0.0,0.3672882,33.969913
1007.7,-0.19942,-0.19942,0.312,0.0,0.24443085,-12.401966
1010.184,-0.19942,-0.19942,0.264,0.0,0.18343666,-46.428238
1012.701,-0.19942,-0.19942,0.24,0.0,1.2478757e-18,-36.807137
1015.173,-0.19942,-0.19942,0.192,0.0,1.2447989e-18,0.18677089
1017.7,-0.19942,-0.19942,0.192,0.0,0.18474735,36.84847
1020.202,-0.19942,-0.19788,0.168,0.0,0.24541175,24.562275
1022.702,-0.19942,-0.19788,0.144,0.0,0.1847532,-46.683098
1025.203,-0.19942,-0.19788,0.144,0.0,-0.18422014,-51.22898
1027.775,-0.19942,-0.19942,0.144,0.0,-0.06388213,-10.330077
1030.203,-0.19942,-0.19788,0.12,0.0,0.0592858,49.53777
1032.696,-0.19942,-0.19788,0.12,0.0,0.18608452,12.784424
1035.18,-0.19942,-0.19788,0.12,0.0,-6.6985165e-15,-14.598999
1037.677,-0.19942,-0.19788,0.12,0.0,-6.6366797e-15,-22.34523
1040.18,-0.19942,-0.19788,0.12,0.0,-6.664003e-15,1.1071568e-15
1042.677,-0.19942,-0.19788,0.096,0.0,-6.6801685e-15,-4.8745535e-15
1045.185,-0.19942,-0.19788,0.096,0.0,-6.6719616e-15,7.322119e-16
1047.675,-0.19942,-0.19788,0.096,0.0,-6.660634e-15,2.457943e-15
1050.174,-0.19942,-0.19788,0.072,0.0,-6.6634778e-15,2.8075625e-15
1052.672,-0.19942,-0.19788,0.072,0.0,-6.6476526e-15,-6.5927306e-16
1055.173,-0.19942,-0.19788,0.048,0.0,-6.671395e-15,-2.0475037e-15
1057.67,-0.19942,-0.19788,0.048,0.0,-6.672614e-15,-3.543949e-17
1060.176,-0.19942,-0.19788,0.048,0.0,-6.6475586e-15,3.7968853e-15
1062.678,-0.19942,-0.19788,0.024,0.0,-6.6480884e-15,1.3913833e-15
1065.179,-0.19942,-0.19788,0.024,0.0,-6.660842e-15,5.651528e-15
1067.671,-0.19942,-0.19788,0.024,0.0,-6.596185e-15,6.945531e-15
1070.238,-0.19942,-0.19788,0.024,0.0,-6.6111764e-15,-4.6308977e-15
1072.712,-0.19942,-0.19788,0.0,0.0,-6.6948463e-15,-1.1628787e-14
1075.197,-0.19942,-0.19788,0.0,0.0,-6.665419e-15,-6.325904e-15
1077.705,-0.19942,-0.19788,0.0,0.0,-6.673609e-15,8.732648e-15
1080.175,-0.19942,-0.19788,0.0,0.0,-6.619537e-15,4.2050447e-15
1082.726,-0.19942,-0.19788,0.0,0.0,-6.6480325e-15,-1.4936778e-15
1085.207,-0.19942,-0.19788,0.0,0.0,-6.6763603e-15,-1.094656e-14
1087.706,0.03835,-0.19788,0.0,0.0,-6.701581e-15,67.08487
1090.161,0.03835,-0.19788,0.0,1232.02,0.55609906,245.25716
1092.69,0.03835,-0.19328,0.0,1474.12,1.8477788,493.57706
1095.169,0.03835,-0.18408,0.0,1129.8,3.666839,642.2316
1097.701,0.03835,-0.17027,0.072,809.69,5.323831,649.40344
1100.204,0.03835,-0.1534,0.168,497.65,6.72381,505.92538
1102.697,0.03835,-0.13346,0.36,188.3,7.428593,251.46457
1105.198,0.03835,-0.11505,0.528,-32.28,7.1829433,-15.943884
1107.699,0.03835,-0.09971,0.839,-180.23,6.673623,-188.84865
1110.216,0.03835,-0.08283,1.223,-271.69,6.0213795,-251.7506
1112.684,0.03835,-0.07056,1.487,-282.45,5.304111,-270.42096
1115.169,0.03835,-0.05983,1.871,-279.76,4.6700754,-203.5431
1117.708,0.03835,-0.04755,2.134,-282.45,4.5361347,-82.96842
1120.179,0.03835,-0.03682,2.422,-295.9,4.6569786,-30.929998
1122.692,0.03835,-0.02454,2.83,-295.9,4.3723316,-68.78086
1125.174,0.03835,-0.01534,3.118,-314.73,4.0605664,-172.49557
1127.664,0.03835,-0.00614,3.501,-298.59,3.326565,-215.51228
1130.16,0.03835,0.0,3.717,-293.21,2.8288667,-257.2189
1132.658,0.03835,0.00614,3.981,-252.86,2.0874104,-215.42871
1135.16,0.03835,0.0092,4.077,-212.51,1.7793885,-153.06358
1137.66,0.03835,0.01381,4.125,-174.85,1.6558063,-56.527103
1140.163,0.03835,0.01841,4.125,-158.71,1.6572461,-44.332836
1142.661,0.03835,0.02148,4.029,-147.95,1.4093231,-83.475784
1145.167,0.03835,0.02454,3.957,-139.88,1.0423379,-117.96211
1147.665,0.03835,0.02608,3.813,-121.05,0.7961358,-127.31576
1150.173,0.03835,0.02761,3.669,-86.08,0.42904025,-117.59563
1152.675,0.03835,0.02761,3.453,-53.8,0.18353614,-83.12063
1155.173,0.03835,0.02761,3.285,-34.97,0.18481968,22.125757
1157.671,0.03835,0.02915,3.022,-32.28,0.6131049,119.17099
1160.189,0.03835,0.03221,2.758,-34.97,1.0350142,118.62084
1162.734,0.03835,0.03528,2.566,-45.73,1.0420026,23.32922
1165.175,0.03835,0.03682,2.398,-61.87,0.80254966,-82.239044
1167.675,0.03835,0.03835,2.158,-69.94,0.43084493,-118.58796
1170.193,0.03835,0.03835,1.942,-53.8,0.18266907,-105.78373
1172.703,0.03835,0.03835,1.799,-40.35,-4.651118e-18,-58.960625
1175.188,0.03835,0.03835,1.607,-24.21,-1.8014563e-18,-16.787167
1179.299,0.03835,0.03835,1.343,-5.38,7.6059955e-19,9.832404e-16
1180.192,0.03835,0.03835,1.295,-5.38,3.700826e-18,-8.1104126e-17
1182.697,0.03835,0.03835,1.199,-5.38,-3.865819e-18,-9.068772e-18
1185.195,0.03835,0.03835,1.055,-2.69,3.3309411e-18,-22.132912
1187.674,0.03835,0.03835,0.959,0.0,-0.1843787,-59.331406
1190.175,0.03835,0.03682,0.863,0.0,-0.4312669,-61.50902
1192.667,0.03835,0.03528,0.767,8.07,-0.42861205,0.2117189
1195.195,0.03835,0.03528,0.647,26.9,-0.18437274,61.44316
1197.68,0.03835,0.03528,0.576,34.97,1.6794824e-15,36.97324
1200.135,0.03835,0.03528,0.504,34.97,-0.18536012,7.446866
1202.671,0.03835,0.03375,0.408,18.83,-0.061619,12.331475
1205.166,0.03835,0.03528,0.36,10.76,0.06016899,70.861565
1207.685,0.03835,0.03528,0.264,0.0,0.36803266,71.335304
1210.166,0.03835,0.03682,0.24,-13.45,0.42990732,69.16139
1212.667,0.03835,0.03835,0.192,-16.14,0.6150917,14.762115
1215.159,0.03835,0.03988,0.168,-8.07,0.42893413,-14.783342
1217.658,0.03835,0.03988,0.144,-8.07,0.36878395,-68.91579
1220.158,0.03835,0.04142,0.12,-29.59,0.061521176,-71.140816
