setpoint [rad], position [rad], velocity [rad/s], current [mA], delta_t [ms]
0.00, 3.15, 0.00, 0.00, 0.00
2.80, 3.15, 0.00, -408.88, 0.92
2.80, 3.15, 0.00, 242.10, 2.56
2.80, 3.15, 0.00, -1651.66, 2.51
2.80, 3.14, -0.02, -1258.92, 2.55
2.80, 3.12, -0.07, -815.07, 2.45
2.80, 3.11, -0.19, -521.86, 2.60
2.80, 3.09, -0.31, -344.32, 2.41
2.80, 3.08, -0.55, -236.72, 2.50
2.80, 3.06, -0.74, -169.47, 2.50
2.80, 3.04, -1.10, -112.98, 2.50
2.80, 3.02, -1.37, -91.46, 2.49
2.80, 3.00, -1.80, -83.39, 2.51
2.80, 2.98, -2.11, -69.94, 2.49
2.80, 2.96, -2.64, -53.80, 2.49
2.80, 2.94, -2.97, -53.80, 2.49
2.80, 2.93, -3.53, -56.49, 2.50
2.80, 2.91, -3.91, -43.04, 2.52
2.80, 2.88, -4.41, -45.73, 2.48
2.80, 2.87, -4.75, -51.11, 2.50
2.80, 2.85, -5.18, 8.07, 2.49
2.80, 2.83, -5.44, 538.00, 2.51
2.80, 2.81, -5.78, 960.33, 2.50
2.80, 2.80, -5.97, 1194.36, 2.51
2.80, 2.79, -6.16, 1124.42, 2.54
2.80, 2.79, -6.26, 879.63, 2.50
2.80, 2.79, -6.28, 613.32, 2.46
2.80, 2.79, -6.21, 360.46, 2.48
2.80, 2.79, -6.07, 156.02, 2.51
2.80, 2.79, -5.90, 8.07, 2.49
2.80, 2.80, -5.56, -86.08, 2.54
2.80, 2.80, -5.30, -156.02, 2.45
2.80, 2.80, -4.87, -158.71, 2.50
2.80, 2.80, -4.53, -99.53, 2.50
2.80, 2.80, -4.00, -88.77, 2.48
2.80, 2.80, -3.65, -48.42, 2.50
2.80, 2.80, -3.09, 0.00, 2.70
2.80, 2.80, -2.76, 18.83, 2.30
2.80, 2.80, -2.28, 18.83, 2.50
2.80, 2.80, -1.99, 8.07, 2.50
2.80, 2.80, -1.61, 0.00, 2.50
2.80, 2.80, -1.39, 0.00, 2.50
2.80, 2.80, -1.13, 0.00, 2.50
2.80, 2.80, -0.98, 8.07, 2.50
2.80, 2.80, -0.79, 0.00, 2.52
2.80, 2.80, -0.72, 0.00, 2.50
2.80, 2.80, -0.60, 16.14, 2.52
2.80, 2.80, -0.53, 0.00, 2.46
2.80, 2.80, -0.46, 0.00, 2.50
2.80, 2.80, -0.38, 0.00, 2.49
2.80, 2.80, -0.34, 0.00, 2.51
2.80, 2.80, -0.29, 0.00, 2.50
2.80, 2.80, -0.24, 5.38, 2.54
2.80, 2.80, -0.22, 0.00, 2.44
2.80, 2.80, -0.17, 0.00, 2.51
2.80, 2.80, -0.14, 0.00, 2.49
2.80, 2.80, -0.12, 0.00, 2.61
2.80, 2.80, -0.12, 0.00, 2.46
2.80, 2.80, -0.10, 0.00, 2.53
2.80, 2.80, -0.07, 2.69, 2.42
2.80, 2.80, -0.07, 0.00, 2.53
2.80, 2.80, -0.05, 0.00, 2.46
2.80, 2.80, -0.05, 0.00, 2.51
2.80, 2.80, -0.05, 0.00, 2.53
2.80, 2.80, -0.02, 0.00, 2.46
2.80, 2.80, -0.02, 0.00, 2.47
2.80, 2.80, -0.02, 0.00, 2.50
2.80, 2.80, -0.02, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.57
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 2.69, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.45
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.56
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.56
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.58
2.80, 2.80, 0.00, 0.00, 2.42
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.61
2.80, 2.80, 0.00, 0.00, 2.42
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.58
2.80, 2.80, 0.00, 0.00, 2.43
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.57
2.80, 2.80, 0.00, 0.00, 2.44
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.56
2.80, 2.80, 0.00, 13.45, 2.43
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 16.14, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.45
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.58
2.80, 2.80, 0.00, 0.00, 2.41
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.56
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.45
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.62
2.80, 2.80, 0.00, 0.00, 2.38
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.54
2.80, 2.80, 0.00, 0.00, 2.45
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.53
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, -13.45, 2.52
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.46
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 10.76, 2.48
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.47
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.48
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.49
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.51
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.64
2.80, 2.80, 0.00, 0.00, 2.36
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.52
2.80, 2.80, 0.00, 0.00, 2.45
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.50
2.80, 2.80, 0.00, 0.00, 2.53
3.15, 2.80, 0.00, 0.00, 2.52
3.15, 2.80, 0.00, 1293.89, 2.48
3.15, 2.81, 0.00, 1492.95, 2.48
3.15, 2.82, 0.02, 984.54, 2.53
3.15, 2.83, 0.10, 621.39, 2.47
3.15, 2.85, 0.24, 371.22, 2.55
3.15, 2.87, 0.46, 250.17, 2.49
3.15, 2.89, 0.65, 182.92, 2.45
3.15, 2.91, 0.98, 107.60, 2.57
3.15, 2.93, 1.25, 83.39, 2.45
3.15, 2.94, 1.51, 69.94, 2.50
3.15, 2.96, 1.99, 64.56, 2.50
3.15, 2.98, 2.30, 40.35, 2.48
3.15, 3.00, 2.83, 40.35, 2.52
3.15, 3.02, 3.38, 37.66, 2.59
3.15, 3.04, 3.74, 34.97, 2.41
3.15, 3.06, 4.12, 26.90, 2.48
3.15, 3.08, 4.63, 34.97, 2.50
3.15, 3.10, 5.08, 24.21, 2.58
3.15, 3.12, 5.35, -263.62, 2.46
3.15, 3.14, 5.71, -841.97, 2.48
3.15, 3.15, 5.90, -1156.70, 2.50
3.15, 3.16, 6.07, -1178.22, 2.51
3.15, 3.16, 6.21, -997.99, 2.50
3.15, 3.16, 6.26, -747.82, 2.47
3.15, 3.16, 6.26, -497.65, 2.50
3.15, 3.16, 6.16, -258.24, 2.51
3.15, 3.16, 5.97, -61.87, 2.50
3.15, 3.16, 5.78, 61.87, 2.49
3.15, 3.15, 5.42, 104.91, 2.51
3.15, 3.15, 4.99, 161.40, 2.52
3.15, 3.15, 4.68, 110.29, 2.47
3.15, 3.15, 4.34, 126.43, 2.51
3.15, 3.15, 3.81, 80.70, 2.51
3.15, 3.15, 3.26, 48.42, 2.50
3.15, 3.15, 2.90, 16.14, 2.49
3.15, 3.15, 2.57, -37.66, 2.50
3.15, 3.15, 2.11, -32.28, 2.50
3.15, 3.15, 1.82, -18.83, 2.50
3.15, 3.15, 1.49, -8.07, 2.54
3.15, 3.15, 1.20, -2.69, 2.51
3.15, 3.15, 1.03, -2.69, 2.46
3.15, 3.15, 0.91, -2.69, 2.51
3.15, 3.15, 0.74, -2.69, 2.52
3.15, 3.15, 0.65, -2.69, 2.47
3.15, 3.15, 0.55, -2.69, 2.50
3.15, 3.15, 0.48, -2.69, 2.51
3.15, 3.15, 0.41, -2.69, 2.52
3.15, 3.15, 0.36, -2.69, 2.54
3.15, 3.15, 0.31, -2.69, 2.48
3.15, 3.15, 0.26, 0.00, 2.46
3.15, 3.15, 0.22, 0.00, 2.53
3.15, 3.15, 0.19, 0.00, 2.47
3.15, 3.15, 0.17, 0.00, 2.51
3.15, 3.15, 0.14, 0.00, 2.49
3.15, 3.15, 0.12, -8.07, 2.52
3.15, 3.15, 0.10, 0.00, 2.50
3.15, 3.15, 0.07, 0.00, 2.51
3.15, 3.15, 0.07, 0.00, 2.50
3.15, 3.15, 0.05, 0.00, 2.50
3.15, 3.15, 0.05, 0.00, 2.48
3.15, 3.15, 0.05, 0.00, 2.52
3.15, 3.15, 0.02, 0.00, 2.52
3.15, 3.15, 0.02, 0.00, 2.44
3.15, 3.15, 0.02, 0.00, 2.53
3.15, 3.15, 0.02, 0.00, 2.50
3.15, 3.15, 0.02, 0.00, 2.48
3.15, 3.15, 0.00, -13.45, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.90
3.15, 3.15, 0.00, 0.00, 2.09
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, -2.69, 2.53
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 2.69, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.58
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.59
3.15, 3.15, 0.00, 0.00, 2.41
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 10.76, 2.49
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.42
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.56
3.15, 3.15, 0.00, 0.00, 2.43
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.44
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 2.69, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.44
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.75
3.15, 3.15, 0.00, 0.00, 2.33
3.15, 3.15, 0.00, 0.00, 2.41
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, -13.45, 2.50
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.40
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
