time[s],setpoint[rad],position[rad],current[mA],velocity_computed[rad/s],acceleration_computed[rad/s^2]
  0.000061,-1.63676,00.059,00000.00,nan,nan
  0.000606,-1.61068,00.059,00000.00,nan,nan
  0.003176,-1.61068,00.059,-0285.14,nan,nan
  0.005675,-1.61068,00.059,-0207.13,nan,nan
  0.008164,-1.61068,00.059,-0131.81,nan,nan
  0.010669,-1.61068,00.058,-0080.70,nan,nan
  0.013171,-1.61068,00.054,-0043.04,nan,nan
  0.015666,-1.61068,00.051,-0013.45,nan,nan
  0.018159,-1.61068,00.050,00000.00,nan,nan
  0.020658,-1.61068,00.047,00008.07,nan,nan
  0.023164,-1.61068,00.042,00026.90,nan,nan
  0.025658,-1.61068,00.039,00048.42,nan,nan
  0.028180,-1.61068,00.038,00061.87,nan,nan
  0.030671,-1.61068,00.035,00069.94,nan,nan
  0.033168,-1.61068,00.033,00064.56,nan,nan
  0.035676,-1.61068,00.031,00069.94,nan,nan
  0.038169,-1.61068,00.030,00061.87,nan,nan
  0.040670,-1.61068,00.028,00067.25,nan,nan
  0.043177,-1.61068,00.028,00080.70,nan,nan
  0.045670,-1.61068,00.028,00067.25,nan,nan
  0.048217,-1.61068,00.027,00061.87,nan,nan
  0.050670,-1.61068,00.027,00045.73,nan,nan
  0.053218,-1.61068,00.027,00029.59,nan,nan
  0.055673,-1.61068,00.027,00018.83,nan,nan
  0.058195,-1.61068,00.025,00010.76,nan,nan
  0.060670,-1.61068,00.027,00005.38,nan,nan
  0.063169,-1.61068,00.028,00005.38,nan,nan
  0.065669,-1.61221,00.028,00000.00,nan,nan
  0.068169,-1.61221,00.028,-0032.28,nan,nan
  0.070670,-1.61221,00.028,-0032.28,nan,nan
  0.073194,-1.61221,00.030,-0018.83,nan,nan
  0.075671,-1.61221,00.028,-0010.76,nan,nan
  0.078230,-1.61221,00.028,-0013.45,nan,nan
  0.080668,-1.61221,00.027,00002.69,nan,nan
  0.083167,-1.61221,00.025,00034.97,nan,nan
  0.085673,-1.61221,00.025,00037.66,nan,nan
  0.088200,-1.61221,00.024,00029.59,nan,nan
  0.090668,-1.61375,00.024,00021.52,nan,nan
  0.093190,-1.61375,00.022,00010.76,nan,nan
  0.095669,-1.61375,00.022,00008.07,nan,nan
  0.098188,-1.61375,00.022,00000.00,nan,nan
  0.100668,-1.61375,00.022,00000.00,nan,nan
  0.103184,-1.61375,00.022,00000.00,nan,nan
  0.105673,-1.61528,00.022,00000.00,nan,nan
  0.108230,-1.61528,00.022,00000.00,nan,nan
  0.110669,-1.61528,00.022,00000.00,nan,nan
  0.113168,-1.61528,00.021,00000.00,nan,nan
  0.115670,-1.61682,00.021,00000.00,nan,nan
  0.118167,-1.61682,00.021,00000.00,nan,nan
  0.120670,-1.61682,00.021,00000.00,nan,nan
  0.123168,-1.61682,00.021,00000.00,nan,nan
  0.125669,-1.61835,00.021,00000.00,nan,nan
  0.128169,-1.61835,00.021,00000.00,nan,nan
  0.130669,-1.61988,00.022,00005.38,nan,nan
  0.133185,-1.61988,00.022,-0026.90,nan,nan
  0.135702,-1.61988,00.022,-0010.76,nan,nan
  0.138183,-1.61988,00.022,00000.00,nan,nan
  0.140701,-1.62142,00.022,00000.00,nan,nan
  0.143159,-1.62142,00.022,-0010.76,nan,nan
  0.145691,-1.62295,00.022,-0010.76,nan,nan
  0.148195,-1.62295,00.021,-0005.38,nan,nan
  0.150688,-1.62449,00.021,-0005.38,nan,nan
  0.153191,-1.62449,00.019,-0002.69,nan,nan
  0.156019,-1.62602,00.019,00000.00,nan,nan
  0.158180,-1.62602,00.018,00000.00,nan,nan
  0.160664,-1.62755,00.016,00000.00,nan,nan
  0.163161,-1.62755,00.016,00000.00,nan,nan
  0.165677,-1.62755,00.015,00013.45,nan,nan
  0.179116,-1.63062,00.012,00037.66,nan,nan
  0.179821,-1.63676,00.012,00034.97,nan,nan
  0.182386,-1.63676,00.010,-0037.66,nan,nan
  0.184886,-1.63676,00.010,-0034.97,nan,nan
  0.187384,-1.63829,00.008,-0008.07,nan,nan
  0.189998,-1.63829,00.008,-0002.69,nan,nan
  0.192383,-1.63983,00.007,00000.00,nan,nan
  0.194878,-1.63983,00.005,-0002.69,nan,nan
  0.197383,-1.64289,00.005,00000.00,nan,nan
  0.199880,-1.64289,00.004,-0010.76,nan,nan
  0.202381,-1.64443,00.004,-0005.38,nan,nan
  0.204879,-1.64443,00.002,-0005.38,nan,nan
  0.207379,-1.64750,00.001,-0002.69,nan,nan
  0.209878,-1.64750,-0.001,-0008.07,nan,nan
  0.212378,-1.64903,-0.001,00000.00,nan,nan
  0.214879,-1.64903,-0.002,00000.00,nan,nan
  0.217379,-1.65210,-0.004,00002.69,nan,nan
  0.219910,-1.65210,-0.005,-0002.69,nan,nan
  0.222375,-1.65363,-0.005,00002.69,nan,nan
  0.224875,-1.65363,-0.007,00000.00,nan,nan
  0.227376,-1.65517,-0.008,00005.38,nan,nan
  0.229915,-1.65517,-0.008,00002.69,nan,nan
  0.232379,-1.65670,-0.010,00005.38,nan,nan
  0.234880,-1.65670,-0.011,00000.00,nan,nan
  0.237380,-1.65823,-0.013,00000.00,nan,nan
  0.239879,-1.65823,-0.013,00000.00,nan,nan
  0.242379,-1.65977,-0.015,00000.00,nan,nan
  0.244879,-1.65977,-0.016,00000.00,nan,nan
  0.247376,-1.65977,-0.016,00000.00,nan,nan
  0.249877,-1.65977,-0.018,00018.83,nan,nan
  0.252383,-1.66130,-0.018,00029.59,nan,nan
  0.254880,-1.66130,-0.019,00005.38,nan,nan
  0.257379,-1.66130,-0.019,00018.83,nan,nan
  0.259883,-1.66130,-0.019,00021.52,nan,nan
  0.262385,-1.66130,-0.021,00013.45,nan,nan
  0.264912,-1.66130,-0.021,00000.00,nan,nan
  0.267401,-1.65977,-0.022,00026.90,nan,nan
  0.269891,-1.65977,-0.022,00048.42,nan,nan
  0.272385,-1.65977,-0.022,00034.97,nan,nan
  0.274953,-1.65977,-0.024,00021.52,nan,nan
  0.277416,-1.65823,-0.024,00010.76,nan,nan
  0.279908,-1.65823,-0.024,00002.69,nan,nan
  0.282399,-1.65670,-0.024,00000.00,nan,nan
  0.284894,-1.65670,-0.024,00024.21,nan,nan
  0.287378,-1.65363,-0.024,00024.21,nan,nan
  0.289886,-1.65363,-0.024,00032.28,nan,nan
  0.292386,-1.65210,-0.024,00018.83,nan,nan
  0.294910,-1.65210,-0.022,00024.21,nan,nan
  0.297373,-1.64903,-0.024,00010.76,nan,nan
  0.299875,-1.64903,-0.022,00029.59,nan,nan
  0.302401,-1.64596,-0.022,00024.21,nan,nan
  0.304884,-1.64596,-0.022,00037.66,nan,nan
  0.307383,-1.64136,-0.021,00021.52,nan,nan
  0.309879,-1.64136,-0.021,00040.35,nan,nan
  0.312375,-1.63829,-0.019,00034.97,nan,nan
  0.314875,-1.63829,-0.019,00034.97,nan,nan
  0.317374,-1.63522,-0.018,00026.90,nan,nan
  0.319902,-1.63522,-0.016,00032.28,nan,nan
  0.322384,-1.63062,-0.015,00018.83,nan,nan
  0.324881,-1.63062,-0.013,00018.83,nan,nan
  0.327375,-1.62755,-0.011,00005.38,nan,nan
  0.329875,-1.62755,-0.010,00010.76,nan,nan
  0.332374,-1.62449,-0.008,00002.69,nan,nan
  0.334884,-1.62449,-0.007,00021.52,nan,nan
  0.337470,-1.61988,-0.005,00002.69,nan,nan
  0.339883,-1.61988,-0.004,00018.83,nan,nan
  0.342381,-1.61835,-0.002,00008.07,nan,nan
  0.344876,-1.61835,-0.001,00000.00,nan,nan
  0.347403,-1.61528,00.002,-0013.45,nan,nan
  0.349912,-1.61528,00.004,00000.00,nan,nan
  0.352441,-1.61375,00.005,00000.00,nan,nan
  0.354883,-1.61375,00.007,00000.00,nan,nan
  0.357454,-1.61221,00.008,-0005.38,nan,nan
  0.359942,-1.61221,00.010,-0005.38,nan,nan
  0.362403,-1.61068,00.012,-0005.38,nan,nan
  0.364903,-1.61068,00.013,00000.00,nan,nan
  0.367374,-1.61068,00.013,00000.00,nan,nan
  0.369899,-1.61068,00.016,-0013.45,nan,nan
  0.372386,-1.61221,00.018,-0013.45,nan,nan
  0.374881,-1.61221,00.018,-0029.59,nan,nan
  0.377381,-1.61375,00.019,-0029.59,nan,nan
  0.379882,-1.61375,00.021,-0059.18,nan,nan
  0.382436,-1.61528,00.022,-0056.49,nan,nan
  0.385033,-1.61528,00.022,-0037.66,nan,nan
  0.387397,-1.61835,00.022,-0018.83,nan,nan
  0.389949,-1.61835,00.024,-0048.42,nan,nan
  0.392463,-1.62142,00.024,-0029.59,nan,nan
  0.394911,-1.62142,00.024,-0048.42,nan,nan
  0.397399,-1.62602,00.024,-0034.97,nan,nan
  0.399907,-1.62602,00.024,-0056.49,nan,nan
  0.402377,-1.63062,00.022,-0034.97,nan,nan
  0.404908,-1.63062,00.021,-0053.80,nan,nan
  0.407399,-1.63522,00.019,-0034.97,nan,nan
  0.409905,-1.63522,00.018,-0043.04,nan,nan
  0.412401,-1.63983,00.016,-0026.90,nan,nan
  0.414915,-1.63983,00.015,-0037.66,nan,nan
  0.417407,-1.64443,00.013,-0013.45,nan,nan
  0.419900,-1.64443,00.012,-0034.97,nan,nan
  0.422378,-1.64903,00.010,-0021.52,nan,nan
  0.424880,-1.64903,00.008,-0029.59,nan,nan
  0.427379,-1.65363,00.007,-0008.07,nan,nan
  0.429885,-1.65363,00.004,-0016.14,nan,nan
  0.432381,-1.65670,00.002,-0005.38,nan,nan
  0.434888,-1.65670,00.001,-0013.45,nan,nan
  0.437388,-1.65977,-0.002,00002.69,nan,nan
  0.439893,-1.65977,-0.004,00000.00,nan,nan
  0.442454,-1.65977,-0.005,00005.38,nan,nan
  0.444896,-1.65977,-0.008,00018.83,nan,nan
  0.447389,-1.66130,-0.010,00024.21,nan,nan
  0.449901,-1.66130,-0.011,00010.76,nan,nan
  0.452505,-1.65977,-0.013,00021.52,nan,nan
  0.454895,-1.65977,-0.015,00040.35,nan,nan
  0.457389,-1.65823,-0.016,00048.42,nan,nan
  0.459890,-1.65823,-0.018,00053.80,nan,nan
  0.462387,-1.65517,-0.019,00043.04,nan,nan
  0.464893,-1.65517,-0.019,00078.01,nan,nan
  0.467390,-1.65210,-0.021,00056.49,nan,nan
  0.469903,-1.65210,-0.021,00078.01,nan,nan
  0.472392,-1.64750,-0.022,00064.56,nan,nan
  0.474893,-1.64750,-0.022,00083.39,nan,nan
  0.477389,-1.64289,-0.022,00064.56,nan,nan
  0.479930,-1.64289,-0.022,00072.63,nan,nan
  0.482425,-1.63676,-0.021,00059.18,nan,nan
  0.484934,-1.63676,-0.019,00078.01,nan,nan
  0.487391,-1.63062,-0.019,00056.49,nan,nan
  0.489892,-1.63062,-0.018,00069.94,nan,nan
  0.492416,-1.62602,-0.015,00045.73,nan,nan
  0.494920,-1.62602,-0.013,00032.28,nan,nan
  0.497416,-1.61988,-0.011,00013.45,nan,nan
  0.499916,-1.61988,-0.010,00043.04,nan,nan
  0.502396,-1.61682,-0.007,00029.59,nan,nan
  0.504914,-1.61682,-0.005,00026.90,nan,nan
  0.507389,-1.61375,-0.002,00005.38,nan,nan
  0.509889,-1.61375,-0.001,00002.69,nan,nan
  0.512416,-1.61221,00.002,-0008.07,nan,nan
  0.514915,-1.61221,00.004,-0013.45,nan,nan
  0.517404,-1.61068,00.007,-0010.76,nan,nan
  0.519914,-1.61068,00.008,-0016.14,nan,nan
  0.522487,-1.61221,00.010,-0024.21,nan,nan
  0.524926,-1.61221,00.012,-0034.97,nan,nan
  0.527442,-1.61528,00.013,-0040.35,nan,nan
  0.529909,-1.61528,00.015,-0059.18,nan,nan
  0.532394,-1.61835,00.016,-0059.18,nan,nan
  0.534888,-1.61835,00.018,-0083.39,nan,nan
  0.537397,-1.62295,00.018,-0069.94,nan,nan
  0.539889,-1.62295,00.019,-0083.39,nan,nan
  0.542388,-1.62909,00.019,-0053.80,nan,nan
  0.544888,-1.62909,00.021,-0086.08,nan,nan
  0.547388,-1.63522,00.019,-0078.01,nan,nan
  0.549888,-1.63522,00.019,-0088.77,nan,nan
  0.552408,-1.64136,00.018,-0069.94,nan,nan
  0.554890,-1.64136,00.018,-0080.70,nan,nan
  0.557389,-1.64750,00.015,-0067.25,nan,nan
  0.559888,-1.64750,00.013,-0075.32,nan,nan
  0.562388,-1.65363,00.012,-0051.11,nan,nan
  0.564888,-1.65363,00.010,-0059.18,nan,nan
  0.567388,-1.65823,00.007,-0024.21,nan,nan
  0.569894,-1.65977,00.004,-0013.45,nan,nan
  0.572398,-1.65977,00.002,-0021.52,nan,nan
  0.574890,-1.65977,-0.001,-0002.69,nan,nan
  0.577392,-1.66130,-0.002,00005.38,nan,nan
  0.579895,-1.66130,-0.005,00010.76,nan,nan
  0.582389,-1.65977,-0.008,00037.66,nan,nan
  0.584955,-1.65977,-0.010,00059.18,nan,nan
  0.587398,-1.65670,-0.013,00061.87,nan,nan
  0.589922,-1.65670,-0.016,00088.77,nan,nan
  0.592396,-1.65363,-0.018,00094.15,nan,nan
  0.594899,-1.65363,-0.019,00107.60,nan,nan
  0.597391,-1.64750,-0.019,00075.32,nan,nan
  0.599893,-1.64750,-0.019,00121.05,nan,nan
  0.602397,-1.63983,-0.019,00107.60,nan,nan
  0.604934,-1.63983,-0.019,00121.05,nan,nan
  0.607395,-1.63369,-0.019,00096.84,nan,nan
  0.609890,-1.63369,-0.018,00104.91,nan,nan
  0.612420,-1.62602,-0.016,00075.32,nan,nan
  0.614919,-1.62602,-0.015,00099.53,nan,nan
  0.617416,-1.61988,-0.013,00059.18,nan,nan
  0.619994,-1.61988,-0.011,00064.56,nan,nan
  0.622416,-1.61528,-0.008,00045.73,nan,nan
  0.624921,-1.61528,-0.007,00053.80,nan,nan
  0.627418,-1.61221,-0.005,00024.21,nan,nan
  0.629892,-1.61221,-0.002,00013.45,nan,nan
  0.632418,-1.61068,00.001,-0008.07,nan,nan
  0.634924,-1.61068,00.004,-0018.83,nan,nan
  0.637486,-1.61221,00.005,-0016.14,nan,nan
  0.639894,-1.61221,00.008,-0037.66,nan,nan
  0.642415,-1.61528,00.010,-0048.42,nan,nan
  0.644924,-1.61528,00.012,-0064.56,nan,nan
  0.647420,-1.61988,00.013,-0064.56,nan,nan
  0.649918,-1.61988,00.015,-0094.15,nan,nan
  0.652452,-1.62755,00.016,-0096.84,nan,nan
  0.654899,-1.62755,00.018,-0134.50,nan,nan
  0.657393,-1.63369,00.019,-0096.84,nan,nan
  0.659898,-1.63369,00.019,-0112.98,nan,nan
  0.662391,-1.64136,00.019,-0094.15,nan,nan
  0.664893,-1.64136,00.018,-0110.29,nan,nan
  0.667389,-1.64903,00.016,-0096.84,nan,nan
  0.669960,-1.64903,00.015,-0110.29,nan,nan
  0.672390,-1.65517,00.013,-0086.08,nan,nan
  0.674895,-1.65517,00.012,-0088.77,nan,nan
  0.677388,-1.65977,00.007,-0043.04,nan,nan
  0.679892,-1.65977,00.005,-0026.90,nan,nan
  0.682388,-1.66130,00.002,-0013.45,nan,nan
  0.684893,-1.66130,00.001,-0005.38,nan,nan
  0.687388,-1.65977,-0.002,00005.38,nan,nan
  0.689893,-1.65977,-0.005,00034.97,nan,nan
  0.692390,-1.65670,-0.008,00064.56,nan,nan
  0.694893,-1.65670,-0.011,00094.15,nan,nan
  0.697388,-1.65056,-0.015,00091.46,nan,nan
  0.699892,-1.65056,-0.016,00131.81,nan,nan
  0.702395,-1.64443,-0.018,00131.81,nan,nan
  0.704894,-1.64443,-0.019,00150.64,nan,nan
  0.707389,-1.63522,-0.018,00121.05,nan,nan
  0.709899,-1.63522,-0.018,00156.02,nan,nan
  0.712388,-1.62755,-0.016,00112.98,nan,nan
  0.714893,-1.62755,-0.015,00118.36,nan,nan
  0.717388,-1.61988,-0.015,00072.63,nan,nan
  0.719953,-1.61988,-0.011,00094.15,nan,nan
  0.722390,-1.61528,-0.010,00056.49,nan,nan
  0.724926,-1.61528,-0.008,00067.25,nan,nan
  0.727389,-1.61221,-0.005,00043.04,nan,nan
  0.729892,-1.61221,-0.004,00034.97,nan,nan
  0.732421,-1.61068,-0.001,00008.07,nan,nan
  0.734929,-1.61068,00.002,-0013.45,nan,nan
  0.737417,-1.61375,00.005,-0026.90,nan,nan
  0.739922,-1.61375,00.008,-0061.87,nan,nan
  0.742416,-1.61835,00.012,-0064.56,nan,nan
  0.744922,-1.61835,00.015,-0099.53,nan,nan
  0.747388,-1.62602,00.016,-0094.15,nan,nan
  0.749920,-1.62602,00.018,-0145.26,nan,nan
  0.752422,-1.63522,00.018,-0139.88,nan,nan
  0.754922,-1.63522,00.018,-0161.40,nan,nan
  0.757405,-1.64289,00.016,-0129.12,nan,nan
  0.759897,-1.64289,00.016,-0145.26,nan,nan
  0.762421,-1.65210,00.013,-0096.84,nan,nan
  0.764908,-1.65210,00.013,-0121.05,nan,nan
  0.769813,-1.65670,00.008,-0043.04,nan,nan
  0.771429,-1.66130,00.007,-0034.97,nan,nan
  0.772796,-1.66130,00.007,-0040.35,nan,nan
  0.774909,-1.66130,00.004,-0051.11,nan,nan
  0.777456,-1.66130,00.002,-0024.21,nan,nan
  0.779888,-1.65670,-0.002,00002.69,nan,nan
  0.782411,-1.65670,-0.005,00056.49,nan,nan
  0.784892,-1.65670,-0.008,00086.08,nan,nan
  0.787426,-1.65056,-0.010,00075.32,nan,nan
  0.789886,-1.65056,-0.013,00145.26,nan,nan
  0.792389,-1.64289,-0.015,00126.43,nan,nan
  0.794883,-1.64289,-0.016,00169.47,nan,nan
  0.797385,-1.63369,-0.016,00134.50,nan,nan
  0.799884,-1.63369,-0.016,00166.78,nan,nan
  0.802385,-1.62449,-0.016,00134.50,nan,nan
  0.804883,-1.62449,-0.015,00147.95,nan,nan
  0.807376,-1.61682,-0.011,00102.22,nan,nan
  0.809875,-1.61682,-0.011,00104.91,nan,nan
  0.812374,-1.61221,-0.008,00075.32,nan,nan
  0.814875,-1.61221,-0.007,00072.63,nan,nan
  0.817379,-1.61068,-0.004,00034.97,nan,nan
  0.819893,-1.61068,-0.001,00013.45,nan,nan
  0.822385,-1.61375,00.002,-0005.38,nan,nan
  0.824875,-1.61375,00.004,-0045.73,nan,nan
  0.827375,-1.61835,00.007,-0048.42,nan,nan
  0.829876,-1.61835,00.010,-0088.77,nan,nan
  0.832439,-1.62755,00.013,-0099.53,nan,nan
  0.834907,-1.62755,00.015,-0169.47,nan,nan
  0.837392,-1.63676,00.016,-0145.26,nan,nan
  0.839877,-1.63676,00.016,-0182.92,nan,nan
  0.842375,-1.64596,00.016,-0150.64,nan,nan
  0.844875,-1.64596,00.015,-0166.78,nan,nan
  0.847374,-1.65363,00.013,-0126.43,nan,nan
  0.849874,-1.65363,00.012,-0134.50,nan,nan
  0.852442,-1.65977,00.010,-0083.39,nan,nan
  0.854944,-1.65977,00.008,-0078.01,nan,nan
  0.857400,-1.66130,00.005,-0034.97,nan,nan
  0.859964,-1.66130,00.002,-0021.52,nan,nan
  0.862374,-1.65823,-0.001,00000.00,nan,nan
  0.864910,-1.65823,-0.002,00029.59,nan,nan
  0.867484,-1.65210,-0.005,00048.42,nan,nan
  0.869897,-1.65210,-0.008,00115.67,nan,nan
  0.872383,-1.64289,-0.011,00115.67,nan,nan
  0.874904,-1.64289,-0.015,00188.30,nan,nan
  0.877402,-1.63369,-0.016,00174.85,nan,nan
  0.879906,-1.63369,-0.016,00193.68,nan,nan
  0.882402,-1.62295,-0.015,00158.71,nan,nan
  0.884910,-1.62295,-0.015,00174.85,nan,nan
  0.887390,-1.61528,-0.013,00134.50,nan,nan
  0.889879,-1.61528,-0.011,00126.43,nan,nan
  0.892379,-1.61221,-0.008,00086.08,nan,nan
  0.894925,-1.61221,-0.007,00061.87,nan,nan
  0.897418,-1.61221,-0.004,00026.90,nan,nan
  0.899904,-1.61221,-0.001,-0002.69,nan,nan
  0.902767,-1.61528,00.002,-0016.14,nan,nan
  0.904895,-1.61528,00.004,-0045.73,nan,nan
  0.907394,-1.62295,00.008,-0056.49,nan,nan
  0.909922,-1.62295,00.012,-0118.36,nan,nan
  0.912407,-1.63369,00.013,-0145.26,nan,nan
  0.914895,-1.63369,00.015,-0201.75,nan,nan
  0.917385,-1.64443,00.015,-0172.16,nan,nan
  0.919904,-1.64443,00.015,-0204.44,nan,nan
  0.922393,-1.65363,00.015,-0166.78,nan,nan
  0.924882,-1.65363,00.013,-0188.30,nan,nan
  0.927378,-1.65977,00.012,-0131.81,nan,nan
  0.929880,-1.65977,00.008,-0107.60,nan,nan
  0.932378,-1.66130,00.005,-0051.11,nan,nan
  0.934882,-1.66130,00.004,-0021.52,nan,nan
  0.937422,-1.65823,00.002,-0008.07,nan,nan
  0.939883,-1.65823,-0.001,00024.21,nan,nan
  0.942379,-1.65056,-0.004,00040.35,nan,nan
  0.944881,-1.65056,-0.007,00115.67,nan,nan
  0.947379,-1.63983,-0.011,00123.74,nan,nan
  0.949880,-1.63983,-0.013,00215.20,nan,nan
  0.952388,-1.62909,-0.016,00185.61,nan,nan
  0.954897,-1.62909,-0.015,00217.89,nan,nan
  0.957381,-1.61988,-0.015,00172.16,nan,nan
  0.959939,-1.61988,-0.013,00182.92,nan,nan
  0.962378,-1.61221,-0.011,00129.12,nan,nan
  0.964881,-1.61221,-0.008,00139.88,nan,nan
  0.967380,-1.61068,-0.005,00083.39,nan,nan
  0.969914,-1.61068,-0.002,00032.28,nan,nan
  0.972396,-1.61375,-0.001,00002.69,nan,nan
  0.974885,-1.61375,00.002,-0043.04,nan,nan
  0.977380,-1.62142,00.004,-0048.42,nan,nan
  0.979918,-1.62142,00.005,-0091.46,nan,nan
  0.982380,-1.63216,00.008,-0094.15,nan,nan
  0.984897,-1.63216,00.012,-0185.61,nan,nan
  0.987429,-1.64443,00.013,-0166.78,nan,nan
  0.989941,-1.64443,00.015,-0204.44,nan,nan
  0.992427,-1.65363,00.013,-0174.85,nan,nan
  0.994918,-1.65363,00.013,-0196.37,nan,nan
  0.997400,-1.65977,00.012,-0158.71,nan,nan
  0.999904,-1.65977,00.010,-0139.88,nan,nan
  1.002436,-1.61068,00.005,-0078.01,nan,nan
  1.004918,-1.61068,00.002,00357.77,nan,nan
  1.007461,-1.61068,-0.001,00371.22,nan,nan
  1.009890,-1.61068,-0.002,00271.69,nan,nan
  1.012527,-1.61068,-0.002,00193.68,nan,nan
  1.014937,-1.61068,-0.001,00131.81,nan,nan
  1.017468,-1.61068,00.002,00091.46,nan,nan
  1.020279,-1.61068,00.004,00059.18,nan,nan
  1.022405,-1.61068,00.007,00024.21,nan,nan
  1.024901,-1.61068,00.010,-0002.69,nan,nan
  1.027385,-1.61068,00.012,-0021.52,nan,nan
  1.029911,-1.61068,00.013,-0026.90,nan,nan
  1.032414,-1.61068,00.015,-0024.21,nan,nan
  1.034911,-1.61068,00.016,-0026.90,nan,nan
  1.037427,-1.61068,00.018,-0034.97,nan,nan
  1.039896,-1.61068,00.019,-0037.66,nan,nan
  1.042386,-1.61068,00.022,-0040.35,nan,nan
  1.044888,-1.61068,00.024,-0048.42,nan,nan
  1.047383,-1.61068,00.025,-0061.87,nan,nan
  1.049888,-1.61068,00.025,-0051.11,nan,nan
  1.052398,-1.61068,00.025,-0037.66,nan,nan
  1.054909,-1.61068,00.027,-0024.21,nan,nan
  1.057395,-1.61068,00.024,-0010.76,nan,nan
  1.059888,-1.61068,00.022,00000.00,nan,nan
  1.062385,-1.61068,00.021,00037.66,nan,nan
  1.064888,-1.61068,00.019,00045.73,nan,nan
  1.067385,-1.61221,00.021,00045.73,nan,nan
  1.069928,-1.61221,00.021,00021.52,nan,nan
  1.072414,-1.61221,00.021,00018.83,nan,nan
  1.074891,-1.61221,00.022,00016.14,nan,nan
  1.077385,-1.61221,00.024,-0013.45,nan,nan
  1.079888,-1.61221,00.025,-0016.14,nan,nan
  1.082385,-1.61221,00.025,-0008.07,nan,nan
  1.084888,-1.61221,00.027,00000.00,nan,nan
  1.087430,-1.61221,00.027,00000.00,nan,nan
  1.089901,-1.61221,00.027,00000.00,nan,nan
  1.092391,-1.61375,00.027,00005.38,nan,nan
  1.094888,-1.61375,00.025,-0005.38,nan,nan
  1.097385,-1.61375,00.025,00002.69,nan,nan
  1.099891,-1.61375,00.025,00018.83,nan,nan
  1.102625,-1.61375,00.025,00021.52,nan,nan
  1.104901,-1.61375,00.024,00024.21,nan,nan
  1.107454,-1.61528,00.024,00026.90,nan,nan
  1.109889,-1.61528,00.024,00021.52,nan,nan
  1.112384,-1.61528,00.022,00018.83,nan,nan
  1.114914,-1.61528,00.022,00021.52,nan,nan
  1.117385,-1.61682,00.022,00021.52,nan,nan
  1.120847,-1.61682,00.021,00013.45,nan,nan
  1.122404,-1.61682,00.021,00013.45,nan,nan
  1.124918,-1.61682,00.021,00013.45,nan,nan
  1.127387,-1.61835,00.019,00010.76,nan,nan
  1.129914,-1.61835,00.021,00005.38,nan,nan
  1.132414,-1.61988,00.021,00005.38,nan,nan
  1.134897,-1.61988,00.021,-0024.21,nan,nan
  1.137434,-1.61988,00.019,-0024.21,nan,nan
  1.139930,-1.61988,00.019,-0013.45,nan,nan
  1.142414,-1.62142,00.021,00000.00,nan,nan
  1.144947,-1.62142,00.021,00000.00,nan,nan
  1.147413,-1.62295,00.019,-0002.69,nan,nan
  1.149887,-1.62295,00.019,00000.00,nan,nan
  1.152390,-1.62449,00.018,00000.00,nan,nan
  1.154913,-1.62449,00.018,00000.00,nan,nan
  1.157400,-1.62602,00.018,00002.69,nan,nan
  1.159893,-1.62602,00.018,00000.00,nan,nan
  1.162385,-1.62755,00.016,00005.38,nan,nan
  1.164890,-1.62755,00.015,00000.00,nan,nan
  1.167386,-1.63062,00.015,00010.76,nan,nan
  1.169909,-1.63062,00.013,-0010.76,nan,nan
  1.172415,-1.63216,00.013,-0005.38,nan,nan
  1.174892,-1.63216,00.013,-0008.07,nan,nan
  1.177385,-1.63369,00.012,-0002.69,nan,nan
  1.179889,-1.63369,00.012,-0002.69,nan,nan
  1.182385,-1.63676,00.010,00000.00,nan,nan
  1.184889,-1.63676,00.008,-0005.38,nan,nan
  1.187428,-1.63829,00.008,00000.00,nan,nan
  1.189902,-1.63829,00.007,00000.00,nan,nan
  1.192435,-1.63983,00.005,00000.00,nan,nan
  1.194888,-1.63983,00.005,00002.69,nan,nan
  1.197387,-1.64289,00.004,00000.00,nan,nan
  1.199911,-1.64289,00.002,-0002.69,nan,nan
  1.202412,-1.64443,00.002,00000.00,nan,nan
  1.204911,-1.64443,00.001,-0002.69,nan,nan
  1.207435,-1.64750,-0.001,00000.00,nan,nan
  1.209893,-1.64750,-0.001,00000.00,nan,nan
  1.212402,-1.64903,-0.002,00000.00,nan,nan
  1.214889,-1.64903,-0.002,00000.00,nan,nan
  1.217383,-1.65210,-0.004,00000.00,nan,nan
  1.219917,-1.65210,-0.005,-0005.38,nan,nan
  1.222463,-1.65363,-0.007,00000.00,nan,nan
  1.224916,-1.65363,-0.008,00000.00,nan,nan
  1.227387,-1.65517,-0.008,00005.38,nan,nan
  1.229916,-1.65517,-0.010,00000.00,nan,nan
  1.232412,-1.65670,-0.010,00000.00,nan,nan
  1.234885,-1.65670,-0.011,00000.00,nan,nan
  1.237429,-1.65823,-0.013,00002.69,nan,nan
  1.239902,-1.65823,-0.013,00000.00,nan,nan
  1.242425,-1.65977,-0.015,00000.00,nan,nan
  1.244917,-1.65977,-0.016,00000.00,nan,nan
  1.247385,-1.65977,-0.016,00000.00,nan,nan
  1.249886,-1.65977,-0.018,00013.45,nan,nan
  1.252404,-1.66130,-0.019,00024.21,nan,nan
  1.254900,-1.66130,-0.019,00016.14,nan,nan
  1.257395,-1.66130,-0.019,00018.83,nan,nan
